x,y,z
-0.107,1.883,92.100
-0.077,2.676,93.100
0.483,2.601,102.000
-0.364,2.521,104.200
-0.235,2.595,72.000
0.518,2.990,72.800
0.003,0.987,82.900
-0.747,2.969,63.300
0.131,2.842,68.300
-0.821,3.025,89.400
0.358,1.903,82.100
-0.377,2.382,103.900
0.630,1.896,106.900
0.690,1.266,55.900
-0.631,2.699,71.500
-0.284,2.518,93.100
-1.136,2.385,72.000
0.298,2.140,108.700
-0.737,2.365,80.200
0.479,2.567,74.500
0.008,1.810,105.900
-0.072,3.023,78.200
0.771,1.634,76.000
-0.360,2.122,94.300
0.657,2.314,97.000
-0.370,2.204,71.000
0.429,2.394,101.900
-0.773,1.997,104.900
0.514,1.041,82.800
0.049,2.989,67.700
0.074,1.589,105.100
0.180,1.579,109.800
-0.370,2.713,76.800
0.226,2.599,75.000
-0.656,2.930,90.300
0.827,2.896,80.000
0.514,3.147,73.600
-0.777,2.984,90.600
-0.009,2.375,72.400
-0.496,1.725,98.300
-0.902,2.331,52.600
0.361,3.045,73.100
-0.036,1.450,82.300
-0.969,2.060,74.800
0.559,2.029,101.200
-0.354,2.763,74.800
0.153,2.061,111.800
0.305,2.275,73.800
0.009,3.425,67.200
0.622,1.862,61.200
-0.530,2.177,90.300
0.208,2.131,104.800
0.022,2.501,92.600
0.237,2.133,72.000
0.321,2.697,75.400
-0.706,2.498,79.800
-0.147,1.555,88.100
-0.733,3.170,63.900
0.390,2.316,99.500
0.351,2.645,80.800
-0.760,2.314,95.000
-0.290,2.866,85.200
-0.487,2.936,67.200
-0.002,1.845,111.800
-0.502,1.731,99.400
-0.303,2.316,88.700
0.425,2.755,86.100
-0.381,1.684,92.300
-1.024,2.809,58.300
-0.272,1.865,108.500
-0.679,2.897,60.300
0.578,2.138,62.000
0.395,1.768,72.200
-0.600,2.463,67.200
-0.007,2.079,109.900
-0.437,1.805,76.500
-0.820,1.850,72.300
0.210,0.760,58.800
0.171,2.304,69.500
-0.565,2.168,93.200
-0.362,2.312,94.700
-0.347,2.228,114.400
0.417,1.755,98.400
0.859,1.787,96.900
-0.425,1.636,90.200
-0.181,2.822,106.700
0.331,1.541,106.700
-0.664,2.117,109.100
-0.794,2.651,108.300
-0.686,2.837,70.500
0.680,2.492,77.200
-0.401,2.257,76.300
0.240,2.546,98.700
-0.042,2.362,83.800
-0.222,2.784,65.500
0.579,1.234,82.900
0.487,2.807,83.800
-0.474,2.864,80.000
0.227,3.159,87.900
0.270,3.183,108.600
0.861,2.244,79.900
-0.145,2.283,91.600
-0.479,3.336,61.400
-0.594,2.617,70.400
0.829,2.506,94.900
-0.242,2.506,53.700
0.734,2.846,96.100
0.602,2.440,68.600
0.105,2.853,74.000
-0.813,1.985,65.400
-0.495,2.853,74.200
-0.231,2.857,74.000
0.016,2.151,99.500
-0.416,3.096,108.900
-0.189,3.108,65.900
-0.325,2.908,70.800
-0.113,2.317,71.200
0.495,1.931,110.600
0.638,1.941,73.200
-0.228,2.556,74.600
0.133,2.245,98.400
-0.587,2.563,71.400
0.403,1.733,90.100
0.949,2.150,77.300
1.171,2.237,102.200
1.038,1.926,78.400
-0.834,2.352,71.800
-0.499,3.383,84.100
-0.219,2.851,103.200
-0.503,3.561,80.600
0.280,3.173,74.700
-0.336,2.911,92.100
0.179,2.229,76.900
-0.023,1.892,90.800
0.710,1.853,87.600
-0.640,3.093,74.800
0.110,1.838,99.800
-0.574,2.654,67.400
0.386,2.753,105.700
-0.374,2.306,96.700
-1.414,1.972,80.900
0.375,2.006,76.700
0.330,1.979,110.000
0.116,2.192,80.000
-0.465,1.967,94.200
-0.339,2.433,108.300
0.486,2.429,67.500
0.623,2.356,110.800
-0.107,2.380,83.600
